,"Chassis
Reference
Number",Model Vehicle,ATA3,ATA6,ATA9,Repair Cost,Rpr_Dt
2,513.0,579    ,43,43007,43007000,very low,2016-02-23
341,368.0,579    ,43,43007,43007007,very low,2016-05-18
0,194.0,T880   ,43,43007,43007021,very low,2016-02-03
364,583.0,579    ,43,43007,43007023,low,2016-06-21
348,340.0,579    ,43,43007,43007023,low,2016-05-02
326,20.0,579    ,43,43007,43007023,very low,2016-04-26
428,602.0,T680   ,43,43007,43007023,medium,2016-06-02
136,94.0,579    ,43,43007,43007023,very low,2016-04-26
619,6.0,365    ,43,43007,43007028,very low,2016-05-26
316,174.0,T680   ,43,43007,43007053,low,2016-05-19
212,783.0,T880   ,43,43007,43007053,very low,2016-05-03
387,753.0,579    ,43,43007,43007053,low,2016-06-15
231,257.0,T880   ,43,43007,43007053,very low,2016-05-25
446,544.0,T680   ,43,43007,43007071,very low,2016-06-15
213,290.0,579    ,43,43007,43007084,very low,2016-05-05
56,441.0,567    ,43,43007,43007085,very low,2016-04-04
616,623.0,579    ,43,43007,43007096,very low,2016-07-12
544,631.0,579    ,43,43007,43007096,very low,2016-06-16
533,763.0,T880   ,43,43007,43007096,very low,2016-06-29
682,712.0,T680   ,43,43007,43007096,low,2016-08-08
671,539.0,T680   ,43,43007,43007096,very low,2016-06-21
442,183.0,579    ,43,43007,43007096,very low,2016-07-20
707,646.0,T880   ,43,43007,43007096,medium,2016-06-08
368,641.0,579    ,43,43007,43007096,very low,2016-06-03
487,483.0,T680   ,43,43007,43007096,low,2016-07-29
662,232.0,T680   ,43,43007,43007125,very low,2016-07-06
44,108.0,365    ,43,43007,43007131,very low,2016-03-09
264,710.0,T880   ,43,43007,43007135,very low,2016-06-22
482,431.0,579    ,43,43007,43007148,very low,2016-05-13
580,458.0,T880   ,43,43006,43006006,very low,2016-07-12
183,650.0,579    ,43,43006,43006006,very low,2016-05-18
235,662.0,579    ,43,43006,43006007,very low,2016-05-25
206,255.0,T680   ,43,43006,43006007,very low,2016-05-13
246,789.0,T680   ,43,43006,43006007,very low,2016-06-13
250,535.0,579    ,43,43006,43006007,very low,2016-05-10
380,729.0,567    ,43,43006,43006007,very low,2016-06-30
191,628.0,T680   ,43,43006,43006007,very low,2016-04-08
257,247.0,579    ,43,43006,43006007,very low,2016-05-24
265,571.0,T680   ,43,43006,43006007,low,2016-06-21
181,711.0,T680   ,43,43006,43006007,very low,2016-05-20
173,276.0,T680   ,43,43006,43006007,very low,2016-04-18
268,787.0,T880   ,43,43006,43006007,low,2016-05-23
169,88.0,567    ,43,43006,43006007,very low,2016-03-17
227,20.0,T880   ,43,43006,43006007,very low,2016-05-29
220,268.0,T680   ,43,43006,43006007,very low,2016-05-18
158,330.0,T680   ,43,43006,43006007,very low,2016-04-21
303,649.0,579    ,43,43006,43006007,very low,2016-05-10
304,486.0,579    ,43,43006,43006007,very low,2016-05-09
144,660.0,T680   ,43,43006,43006007,very low,2016-04-29
309,478.0,T680   ,43,43006,43006007,very low,2016-06-07
312,302.0,T880   ,43,43006,43006007,very low,2016-06-08
314,260.0,579    ,43,43006,43006007,very low,2016-05-17
272,499.0,T880   ,43,43006,43006007,very low,2016-06-01
321,30.0,579    ,43,43006,43006007,very low,2016-05-31
345,116.0,T680   ,43,43006,43006007,very low,2016-05-02
350,310.0,T680   ,43,43006,43006007,very low,2016-05-23
353,770.0,T680   ,43,43006,43006007,very low,2016-05-06
379,621.0,567    ,43,43006,43006007,very low,2016-06-30
218,457.0,T880   ,43,43006,43006007,very low,2016-05-23
271,587.0,579    ,43,43006,43006007,very low,2016-05-26
190,135.0,579    ,43,43006,43006007,very low,2016-05-03
410,163.0,T680   ,43,43006,43006007,very low,2016-07-06
445,41.0,T680   ,43,43006,43006007,very low,2016-07-23
437,666.0,579    ,43,43006,43006007,very low,2016-07-22
419,37.0,T680   ,43,43006,43006007,very low,2016-07-14
413,546.0,T680   ,43,43006,43006007,very low,2016-06-10
541,113.0,579    ,43,43006,43006007,very low,2016-06-13
700,797.0,T680   ,43,43006,43006007,very low,2016-07-18
569,517.0,T680   ,43,43006,43006007,very low,2016-06-07
698,113.0,579    ,43,43006,43006007,very low,2016-07-19
696,560.0,T680   ,43,43006,43006007,very low,2016-08-23
677,285.0,567    ,43,43006,43006007,very low,2016-07-29
667,459.0,T680   ,43,43006,43006007,very low,2016-07-18
