,"Chassis
Reference
Number",Model Vehicle,ATA3,ATA6,ATA9,Repair Cost,Rpr_Dt,Chassis Reference Number
0,513.0,579    ,43,43007,43007000,very low,2016-02-23,513.0
1,368.0,579    ,43,43007,43007007,very low,2016-05-18,368.0
2,194.0,T880   ,43,43007,43007021,very low,2016-02-03,194.0
3,583.0,579    ,43,43007,43007023,low,2016-06-21,583.0
4,340.0,579    ,43,43007,43007023,low,2016-05-02,340.0
5,20.0,579    ,43,43007,43007023,very low,2016-04-26,20.0
6,602.0,T680   ,43,43007,43007023,medium,2016-06-02,602.0
7,94.0,579    ,43,43007,43007023,very low,2016-04-26,94.0
8,6.0,365    ,43,43007,43007028,very low,2016-05-26,6.0
9,174.0,T680   ,43,43007,43007053,low,2016-05-19,174.0
10,783.0,T880   ,43,43007,43007053,very low,2016-05-03,783.0
11,753.0,579    ,43,43007,43007053,low,2016-06-15,753.0
12,257.0,T880   ,43,43007,43007053,very low,2016-05-25,257.0
13,544.0,T680   ,43,43007,43007071,very low,2016-06-15,544.0
14,290.0,579    ,43,43007,43007084,very low,2016-05-05,290.0
15,441.0,567    ,43,43007,43007085,very low,2016-04-04,441.0
16,623.0,579    ,43,43007,43007096,very low,2016-07-12,623.0
17,631.0,579    ,43,43007,43007096,very low,2016-06-16,631.0
18,763.0,T880   ,43,43007,43007096,very low,2016-06-29,763.0
19,712.0,T680   ,43,43007,43007096,low,2016-08-08,712.0
20,539.0,T680   ,43,43007,43007096,very low,2016-06-21,539.0
21,183.0,579    ,43,43007,43007096,very low,2016-07-20,183.0
22,646.0,T880   ,43,43007,43007096,medium,2016-06-08,646.0
23,641.0,579    ,43,43007,43007096,very low,2016-06-03,641.0
24,483.0,T680   ,43,43007,43007096,low,2016-07-29,483.0
25,232.0,T680   ,43,43007,43007125,very low,2016-07-06,232.0
26,108.0,365    ,43,43007,43007131,very low,2016-03-09,108.0
27,710.0,T880   ,43,43007,43007135,very low,2016-06-22,710.0
28,431.0,579    ,43,43007,43007148,very low,2016-05-13,431.0
29,458.0,T880   ,43,43006,43006006,very low,2016-07-12,458.0
30,650.0,579    ,43,43006,43006006,very low,2016-05-18,650.0
31,662.0,579    ,43,43006,43006007,very low,2016-05-25,662.0
32,255.0,T680   ,43,43006,43006007,very low,2016-05-13,255.0
33,789.0,T680   ,43,43006,43006007,very low,2016-06-13,789.0
34,535.0,579    ,43,43006,43006007,very low,2016-05-10,535.0
35,729.0,567    ,43,43006,43006007,very low,2016-06-30,729.0
36,628.0,T680   ,43,43006,43006007,very low,2016-04-08,628.0
37,247.0,579    ,43,43006,43006007,very low,2016-05-24,247.0
38,571.0,T680   ,43,43006,43006007,low,2016-06-21,571.0
39,711.0,T680   ,43,43006,43006007,very low,2016-05-20,711.0
40,276.0,T680   ,43,43006,43006007,very low,2016-04-18,276.0
41,787.0,T880   ,43,43006,43006007,low,2016-05-23,787.0
42,88.0,567    ,43,43006,43006007,very low,2016-03-17,88.0
43,20.0,T880   ,43,43006,43006007,very low,2016-05-29,20.0
44,268.0,T680   ,43,43006,43006007,very low,2016-05-18,268.0
45,330.0,T680   ,43,43006,43006007,very low,2016-04-21,330.0
46,649.0,579    ,43,43006,43006007,very low,2016-05-10,649.0
47,486.0,579    ,43,43006,43006007,very low,2016-05-09,486.0
48,660.0,T680   ,43,43006,43006007,very low,2016-04-29,660.0
49,478.0,T680   ,43,43006,43006007,very low,2016-06-07,478.0
50,302.0,T880   ,43,43006,43006007,very low,2016-06-08,302.0
51,260.0,579    ,43,43006,43006007,very low,2016-05-17,260.0
52,499.0,T880   ,43,43006,43006007,very low,2016-06-01,499.0
53,30.0,579    ,43,43006,43006007,very low,2016-05-31,30.0
54,116.0,T680   ,43,43006,43006007,very low,2016-05-02,116.0
55,310.0,T680   ,43,43006,43006007,very low,2016-05-23,310.0
56,770.0,T680   ,43,43006,43006007,very low,2016-05-06,770.0
57,621.0,567    ,43,43006,43006007,very low,2016-06-30,621.0
58,457.0,T880   ,43,43006,43006007,very low,2016-05-23,457.0
59,587.0,579    ,43,43006,43006007,very low,2016-05-26,587.0
60,135.0,579    ,43,43006,43006007,very low,2016-05-03,135.0
61,163.0,T680   ,43,43006,43006007,very low,2016-07-06,163.0
62,41.0,T680   ,43,43006,43006007,very low,2016-07-23,41.0
63,666.0,579    ,43,43006,43006007,very low,2016-07-22,666.0
64,37.0,T680   ,43,43006,43006007,very low,2016-07-14,37.0
65,546.0,T680   ,43,43006,43006007,very low,2016-06-10,546.0
66,113.0,579    ,43,43006,43006007,very low,2016-06-13,113.0
67,797.0,T680   ,43,43006,43006007,very low,2016-07-18,797.0
68,517.0,T680   ,43,43006,43006007,very low,2016-06-07,517.0
69,113.0,579    ,43,43006,43006007,very low,2016-07-19,113.0
70,560.0,T680   ,43,43006,43006007,very low,2016-08-23,560.0
71,285.0,567    ,43,43006,43006007,very low,2016-07-29,285.0
72,459.0,T680   ,43,43006,43006007,very low,2016-07-18,459.0
73,661.0,T880   ,43,43006,43006007,very low,2016-07-26,661.0
74,351.0,579    ,43,43006,43006007,very low,2016-06-14,351.0
75,745.0,T680   ,43,43006,43006007,very low,2016-06-29,745.0
76,594.0,567    ,43,43006,43006007,very low,2016-06-30,594.0
77,441.0,T680   ,43,43006,43006007,very low,2016-07-13,441.0
78,743.0,567    ,43,43006,43006007,very low,2016-06-30,743.0
79,137.0,567    ,43,43006,43006007,very low,2016-06-30,137.0
80,725.0,567    ,43,43006,43006007,medium,2016-06-30,725.0
81,469.0,T680   ,43,43006,43006007,very low,2016-06-30,469.0
82,759.0,T880   ,43,43006,43006007,very low,2016-06-26,759.0
83,715.0,T680   ,43,43006,43006007,very low,2016-07-19,715.0
84,340.0,567    ,43,43006,43006007,very high,2016-06-30,340.0
85,667.0,567    ,43,43006,43006007,very low,2016-06-30,667.0
86,3.0,567    ,43,43006,43006007,very low,2016-07-05,3.0
87,281.0,567    ,43,43006,43006007,very low,2016-06-30,281.0
88,2.0,T880   ,43,43006,43006007,very low,2016-07-12,2.0
89,465.0,T680   ,43,43006,43006007,very low,2016-06-23,465.0
90,646.0,579    ,43,43006,43006010,very low,2016-06-07,646.0
91,132.0,T680   ,43,43006,43006013,very low,2016-05-26,132.0
92,8.0,T680   ,43,43006,43006016,very low,2016-05-04,8.0
93,562.0,T680   ,43,43006,43006017,very low,2016-04-11,562.0
94,5.0,T680   ,43,43006,43006025,very low,2016-06-21,5.0
95,372.0,T680   ,43,43006,43006025,very low,2016-06-02,372.0
96,610.0,T680   ,43,43006,43006025,low,2016-06-13,610.0
97,679.0,T880   ,43,43006,43006025,very low,2016-05-20,679.0
98,277.0,T880   ,43,43006,43006026,very low,2016-05-11,277.0
99,115.0,T680   ,43,43006,43006026,very low,2016-06-23,115.0
100,691.0,T800B  ,43,43006,43006026,very low,2016-06-09,691.0
101,662.0,T680   ,43,43006,43006026,very low,2016-05-02,662.0
102,340.0,T680   ,43,43006,43006026,very low,2016-05-18,340.0
103,475.0,567    ,43,43006,43006026,very low,2016-06-10,475.0
104,578.0,T800B  ,43,43006,43006026,very low,2016-04-22,578.0
105,28.0,T680   ,43,43006,43006026,very low,2016-05-13,28.0
106,565.0,579    ,43,43006,43006027,very low,2016-06-21,565.0
107,568.0,T680   ,43,43006,43006028,very low,2016-05-17,568.0
108,285.0,567    ,43,43006,43006046,low,2016-05-11,285.0
109,180.0,T880   ,45,45021,45021000,very low,2016-05-19,180.0
110,351.0,567    ,45,45021,45021000,very low,2016-07-26,351.0
111,590.0,T680   ,45,45021,45021000,very low,2016-07-04,590.0
112,567.0,W900B  ,45,45021,45021000,very low,2016-07-20,567.0
113,212.0,T880   ,45,45021,45021003,very low,2016-05-24,212.0
114,634.0,T680   ,45,45021,45021003,medium,2016-05-27,634.0
115,101.0,T680   ,45,45021,45021003,very low,2016-05-25,101.0
116,529.0,T680   ,45,45021,45021003,very low,2016-05-02,529.0
117,170.0,T680   ,45,45021,45021003,very low,2016-05-07,170.0
118,191.0,T680   ,45,45021,45021003,very low,2016-05-18,191.0
119,160.0,T680   ,45,45021,45021003,very low,2016-05-14,160.0
120,60.0,T880   ,45,45021,45021003,medium,2016-03-31,60.0
121,213.0,T880   ,45,45021,45021003,very low,2016-04-26,213.0
122,356.0,T680   ,45,45021,45021003,very low,2016-06-15,356.0
123,773.0,T680   ,45,45021,45021003,very low,2016-03-31,773.0
124,577.0,T680   ,45,45021,45021003,very low,2016-03-22,577.0
125,524.0,T680   ,45,45021,45021003,very low,2016-03-24,524.0
126,432.0,579    ,45,45021,45021003,very low,2016-05-03,432.0
127,97.0,W900B  ,45,45021,45021003,very low,2016-04-01,97.0
128,751.0,T880   ,45,45021,45021003,very low,2016-03-28,751.0
129,15.0,T680   ,45,45021,45021003,very low,2016-04-05,15.0
130,286.0,T880   ,45,45021,45021003,very low,2016-03-28,286.0
131,21.0,T680   ,45,45021,45021003,very low,2016-05-19,21.0
132,803.0,T680   ,45,45021,45021003,very low,2016-06-23,803.0
133,547.0,T880   ,45,45021,45021003,very low,2016-04-21,547.0
134,628.0,T680   ,45,45021,45021003,very low,2016-07-26,628.0
135,711.0,T880   ,45,45021,45021003,very low,2016-05-18,711.0
136,312.0,T880   ,45,45021,45021003,very low,2016-06-08,312.0
137,128.0,T680   ,45,45021,45021003,very low,2016-04-22,128.0
138,588.0,T680   ,45,45021,45021003,very low,2016-05-25,588.0
139,606.0,T680   ,45,45021,45021003,very low,2016-05-19,606.0
140,235.0,T680   ,45,45021,45021003,very low,2016-04-29,235.0
141,293.0,T880   ,45,45021,45021003,very low,2016-05-10,293.0
142,674.0,567    ,45,45021,45021003,medium,2016-05-20,674.0
143,12.0,T680   ,45,45021,45021003,very low,2016-04-28,12.0
144,236.0,T680   ,45,45021,45021003,medium,2016-04-27,236.0
145,190.0,579    ,45,45021,45021003,very low,2016-05-27,190.0
146,545.0,T680   ,45,45021,45021003,very low,2016-05-06,545.0
147,441.0,579    ,45,45021,45021003,medium,2016-05-04,441.0
148,596.0,T680   ,45,45021,45021003,very low,2016-04-15,596.0
149,111.0,T800B  ,45,45021,45021003,very low,2016-05-13,111.0
150,295.0,T680   ,45,45021,45021003,very low,2016-04-27,295.0
151,121.0,T680   ,45,45021,45021003,low,2016-06-15,121.0
152,757.0,T880   ,45,45021,45021003,very low,2016-05-18,757.0
153,288.0,389    ,45,45021,45021003,very low,2016-04-28,288.0
154,172.0,T680   ,45,45021,45021003,very low,2016-04-27,172.0
155,571.0,T680   ,45,45021,45021003,very low,2016-07-18,571.0
156,791.0,T680   ,45,45021,45021003,medium,2016-05-11,791.0
157,804.0,579    ,45,45021,45021003,low,2016-07-29,804.0
158,6.0,T880   ,45,45021,45021003,very low,2016-08-10,6.0
159,685.0,T880   ,45,45021,45021003,very low,2016-07-15,685.0
160,193.0,T680   ,45,45021,45021003,very low,2016-07-21,193.0
161,693.0,T680   ,45,45021,45021003,very low,2016-07-20,693.0
162,342.0,T680   ,45,45021,45021003,very low,2016-07-22,342.0
163,504.0,T880   ,45,45021,45021003,very low,2016-07-18,504.0
164,1.0,T680   ,45,45021,45021003,very low,2016-07-12,1.0
165,697.0,T880   ,45,45021,45021003,very low,2016-06-07,697.0
