,ATA6,cost,count,prob
0,43007,very low,34,0.7083333333333334
1,43007,low,12,0.25
2,43007,medium,2,0.041666666666666664
3,43007,high ,0,0.0
4,43007,very high,0,0.0
5,43007,subtotal,48,1.0
6,43006,very low,110,0.9322033898305084
7,43006,low,6,0.05084745762711865
8,43006,medium,1,0.00847457627118644
9,43006,high ,0,0.0
10,43006,very high,1,0.00847457627118644
11,43006,subtotal,118,1.0
12,45021,very low,122,0.8905109489051095
13,45021,low,3,0.021897810218978103
14,45021,medium,12,0.08759124087591241
15,45021,high ,0,0.0
16,45021,very high,0,0.0
17,45021,subtotal,137,1.0
18,45013,very low,7,0.7777777777777778
19,45013,low,1,0.1111111111111111
20,45013,medium,1,0.1111111111111111
21,45013,high ,0,0.0
22,45013,very high,0,0.0
23,45013,subtotal,9,1.0
24,44003,very low,19,0.5588235294117647
25,44003,low,11,0.3235294117647059
26,44003,medium,3,0.08823529411764706
27,44003,high ,1,0.029411764705882353
28,44003,very high,0,0.0
29,44003,subtotal,34,1.0
30,43004,very low,6,0.46153846153846156
31,43004,low,5,0.38461538461538464
32,43004,medium,0,0.0
33,43004,high ,2,0.15384615384615385
34,43004,very high,0,0.0
35,43004,subtotal,13,1.0
36,101001,very low,56,0.875
37,101001,low,7,0.109375
38,101001,medium,1,0.015625
39,101001,high ,0,0.0
40,101001,very high,0,0.0
41,101001,subtotal,64,1.0
42,44002,very low,16,0.8421052631578947
43,44002,low,3,0.15789473684210525
44,44002,medium,0,0.0
45,44002,high ,0,0.0
46,44002,very high,0,0.0
47,44002,subtotal,19,1.0
48,43001,very low,33,0.8048780487804879
49,43001,low,3,0.07317073170731707
50,43001,medium,5,0.12195121951219512
51,43001,high ,0,0.0
52,43001,very high,0,0.0
53,43001,subtotal,41,1.0
54,45008,very low,5,0.4166666666666667
55,45008,low,5,0.4166666666666667
56,45008,medium,0,0.0
57,45008,high ,2,0.16666666666666666
58,45008,very high,0,0.0
59,45008,subtotal,12,1.0
60,45002,very low,13,0.4642857142857143
61,45002,low,4,0.14285714285714285
62,45002,medium,2,0.07142857142857142
63,45002,high ,2,0.07142857142857142
64,45002,very high,7,0.25
65,45002,subtotal,28,1.0
66,44004,very low,6,0.08450704225352113
67,44004,low,23,0.323943661971831
68,44004,medium,41,0.5774647887323944
69,44004,high ,1,0.014084507042253521
70,44004,very high,0,0.0
71,44004,subtotal,71,1.0
72,45018,very low,3,0.5
73,45018,low,1,0.16666666666666666
74,45018,medium,2,0.3333333333333333
75,45018,high ,0,0.0
76,45018,very high,0,0.0
77,45018,subtotal,6,1.0
78,42004,very low,48,0.96
79,42004,low,2,0.04
80,42004,medium,0,0.0
81,42004,high ,0,0.0
82,42004,very high,0,0.0
83,42004,subtotal,50,1.0
84,44001,very low,6,0.75
85,44001,low,2,0.25
86,44001,medium,0,0.0
87,44001,high ,0,0.0
88,44001,very high,0,0.0
89,44001,subtotal,8,1.0
90,45007,very low,8,0.47058823529411764
91,45007,low,1,0.058823529411764705
92,45007,medium,3,0.17647058823529413
93,45007,high ,3,0.17647058823529413
94,45007,very high,2,0.11764705882352941
95,45007,subtotal,17,1.0
96,42005,very low,1,1.0
97,42005,low,0,0.0
98,42005,medium,0,0.0
99,42005,high ,0,0.0
100,42005,very high,0,0.0
101,42005,subtotal,1,1.0
102,45003,very low,1,0.3333333333333333
103,45003,low,2,0.6666666666666666
104,45003,medium,0,0.0
105,45003,high ,0,0.0
106,45003,very high,0,0.0
107,45003,subtotal,3,1.0
108,45016,very low,1,1.0
109,45016,low,0,0.0
110,45016,medium,0,0.0
111,45016,high ,0,0.0
112,45016,very high,0,0.0
113,45016,subtotal,1,1.0
114,44014,very low,4,0.5
115,44014,low,2,0.25
116,44014,medium,2,0.25
117,44014,high ,0,0.0
118,44014,very high,0,0.0
119,44014,subtotal,8,1.0
120,13009,very low,3,0.75
121,13009,low,0,0.0
122,13009,medium,1,0.25
123,13009,high ,0,0.0
124,13009,very high,0,0.0
125,13009,subtotal,4,1.0
126,43002,very low,6,0.8571428571428571
127,43002,low,1,0.14285714285714285
128,43002,medium,0,0.0
129,43002,high ,0,0.0
130,43002,very high,0,0.0
131,43002,subtotal,7,1.0
132,45012,very low,1,0.5
133,45012,low,1,0.5
134,45012,medium,0,0.0
135,45012,high ,0,0.0
136,45012,very high,0,0.0
137,45012,subtotal,2,1.0
138,42006,very low,1,1.0
139,42006,low,0,0.0
140,42006,medium,0,0.0
141,42006,high ,0,0.0
142,42006,very high,0,0.0
143,42006,subtotal,1,1.0
144,41004,very low,2,1.0
145,41004,low,0,0.0
146,41004,medium,0,0.0
147,41004,high ,0,0.0
148,41004,very high,0,0.0
149,41004,subtotal,2,1.0
150,3001,very low,1,0.5
151,3001,low,0,0.0
152,3001,medium,1,0.5
153,3001,high ,0,0.0
154,3001,very high,0,0.0
155,3001,subtotal,2,1.0
156,53999,very low,0,0.0
157,53999,low,1,1.0
158,53999,medium,0,0.0
159,53999,high ,0,0.0
160,53999,very high,0,0.0
161,53999,subtotal,1,1.0
162,32002,very low,1,1.0
163,32002,low,0,0.0
